"package","installed","version"
"cluster","yes","2.1.8.2"
"cowplot","yes","1.2.0"
"depmixS4","yes","1.5-1"
"digest","yes","0.6.39"
"dplyr","yes","1.2.1"
"emmeans","yes","2.0.2"
"forcats","yes","1.0.1"
"furrr","yes","0.4.0"
"future","yes","1.70.0"
"ggalluvial","yes","0.12.6"
"ggplot2","yes","4.0.2"
"ggridges","yes","0.5.7"
"ggsignif","yes","0.6.4"
"glmnet","yes","4.1-10"
"htmlwidgets","yes","1.6.4"
"igraph","yes","2.2.3"
"lme4","yes","2.0-1"
"lmerTest","yes","3.2-1"
"lubridate","yes","1.9.5"
"mgcv","yes","1.9-4"
"mixOmics","yes","6.34.0"
"openxlsx","yes","4.2.8.1"
"patchwork","yes","1.3.2"
"phateR","yes","1.0.7"
"plotly","yes","4.12.0"
"plyr","yes","1.8.9"
"pracma","yes","2.4.6"
"purrr","yes","1.2.1"
"randomForest","no",
"readr","yes","2.2.0"
"readxl","yes","1.4.5"
"reticulate","yes","1.46.0"
"rmarkdown","yes","2.31"
"rstatix","yes","0.7.3"
"scales","yes","1.4.0"
"stringr","yes","1.6.0"
"tibble","yes","3.3.1"
"tidyr","yes","1.3.2"
"tidyverse","yes","2.0.0"
"uwot","yes","0.2.4"
"zoo","yes","1.8-15"
