"Domain","PhaseClass","Sex","contrast","n_ref","n_comp","hedges_g","mean_difference","p.value","p_fdr"
"Social spatial organization","Active","Female","RES-CON",48,96,0.3352332939655,0.410954877308762,0.0495807188165184,0.272057311790425
"Social spatial organization","Active","Female","SUS-CON",48,88,0.258028780752669,0.289398170572889,0.152063022530668,0.364951254073602
"Social spatial organization","Active","Female","SUS-RES",96,88,-0.101272635808384,-0.121556706735873,0.489241550770007,0.587089860924009
"Social spatial organization","Active","Male","RES-CON",48,100,-0.186778497860865,-0.232249239893751,0.237508172068959,0.609664484138575
"Social spatial organization","Active","Male","SUS-CON",48,61,-0.165859267066049,-0.214682118428548,0.36680917905881,0.661263141682334
"Social spatial organization","Active","Male","SUS-RES",100,61,0.0125545713594676,0.0175671214652029,0.939692228382213,0.994566890967129
"Social spatial organization","Inactive","Female","RES-CON",48,96,-0.819739305997159,-1.15335536617614,0.000165685225431845,0.00099411135259107
"Social spatial organization","Inactive","Female","SUS-CON",48,88,-0.76325889098635,-1.07228928929792,0.00043078934415316,0.00193855204868922
"Social spatial organization","Inactive","Female","SUS-RES",96,88,0.0728592771822155,0.0810660768782234,0.620216210982665,0.697743237355499
"Social spatial organization","Inactive","Male","RES-CON",48,100,-0.450946123509108,-0.603054226199727,0.00678139494178496,0.0135627898835699
"Social spatial organization","Inactive","Male","SUS-CON",48,61,-0.566783882931665,-0.697056589204881,0.00348211035345592,0.0104463310603678
"Social spatial organization","Inactive","Male","SUS-RES",100,61,-0.0691055606224112,-0.0940023630051548,0.661936023392177,0.700873436532893
